First Name,Last Name,Sex,Age,Birth Date,Country,Region,Height (cm),Weight (kg),Hair Color,Eye Color,Personality Type
Azari,Hebert,Female,66,"August 14, 1958",United States,Delaware,166,62,Black,Brown,ENFP
Kamden,Cox,Male,60,"October 27, 1964",Canada,Manitoba,190,77,Black,Brown,ESFJ
Raylan,Carroll,Male,24,"February 5, 2001",Australia,Western Australia,184,81,Brown,Brown,ESFJ
Leah,Mcdowell,Female,12,"November 30, 2012",New Zealand,Auckland,148,40,Black,Brown,ISFJ
Samantha,Oneil,Female,62,"December 26, 1962",United Kingdom,Wales,167,68,Black,Hazel,ISTP
Zayla,Ball,Female,27,"July 9, 1997",United States,Iowa,180,72,Black,Brown,INTJ
Thalia,Pope,Female,67,"September 3, 1957",United States,Missouri,166,62,Black,Brown,ISTJ
Abigail,Holcomb,Female,26,"May 15, 1999",Australia,Tasmania,166,62,Black,Brown,ISTJ
Elsie,Page,Female,39,"December 14, 1985",United Kingdom,Wales,176,66,Black,Brown,ESFP
Selena,Greene,Female,37,"April 18, 1988",Australia,Australian Capital Territory,167,64,Black,Hazel,ESFJ
