First Name,Last Name,Sex,Age,Birth Date,Country,Region,Height (cm),Weight (kg),Hair Color,Hair Type,Hair Length,Eye Color,Blood Type,Personality Type,Zodiac Sign,Favorite Color
Salvatore,Banks,Male,44,5/27/1981,United States,California,177,76,Gray,Curly,Long,Gray,A-,ENTJ,Gemini,Pink
Marcus,Jensen,Male,69,4/17/1956,Canada,British Columbia,182,70,Brown,Straight,Long,Blue,A-,ENTP,Aries,Blue
Abram,Kane,Male,76,7/20/1949,Australia,Victoria,189,82,Brown,Straight,Medium,Gray,O+,ENTP,Cancer,Yellow
Kyree,Franco,Male,17,6/22/2008,Ireland,Dublin,173,59,Gray,Curly,Medium,Hazel,AB+,ESTJ,Cancer,Red
Emerson,Haley,Female,83,8/1/1942,Australia,Queensland,173,67,White,Coily,Short,Amber,O-,ESTJ,Leo,Orange
Silas,Blanchard,Male,57,7/20/1968,New Zealand,Auckland,169,77,Gray,Straight,Medium,Green,O-,ISTJ,Cancer,White
Ricardo,Ingram,Male,83,5/3/1942,United Kingdom,England,179,69,Black,Straight,Medium,Blue,B-,INFJ,Taurus,Black
Jabari,Romero,Male,48,3/5/1977,United Kingdom,Wales,177,77,White,Curly,Medium,Green,O-,ESTJ,Pisces,Green
Reese,Lindsay,Male,26,4/26/1999,Ireland,Dublin,172,79,Brown,Wavy,Long,Amber,O-,ESTP,Taurus,Blue
Phoebe,George,Female,34,5/16/1991,Ireland,Cork,164,61,Blonde,Wavy,Medium,Blue,B-,ISFJ,Taurus,Orange
